product_category_id,product_category,products
292,Sports Drinks,"[
  16822289,
  19609196,
  21085936,
  147168,
  147170,
  19059251,
  147162,
  19624921,
  19577321,
  17738172,
  16877079,
  23248619,
  2728493,
  19146236,
  74969,
  20173171,
  21007426,
  19600053,
  18572922,
  74951,
  87195,
  94094,
  19600765,
  16408586,
  18026817,
  16822951,
  17090816,
  19593222,
  17395124,
  16822618,
  34848,
  2394,
  18174443,
  23339725,
  21055162,
  21007429,
  119552,
  19384871,
  20742146,
  224714,
  2650900,
  20173496,
  253326,
  18357061,
  19384870,
  94093,
  16916873,
  17738164,
  21045027,
  20173691,
  20742198,
  21042972,
  3330871,
  19384868,
  18174632,
  19604951,
  20743818,
  23249219,
  2689483,
  1474295,
  74956
]"
961,Boxed Potato Sides,"[
  3240991,
  3126113,
  18839098
]"
3571,Sprouted Grain Bread,"[
  263563
]"
4344,Headache Relief,"[
  3174695
]"
1451,Wet Cat Food,"[
  1210109,
  16987391,
  17002114,
  16977369,
  136053,
  17452862,
  18145604,
  17018880,
  18072731,
  18145630,
  17012622,
  16529210,
  19737738,
  19668939,
  3190582,
  17347920,
  2755372,
  19118334,
  3413895,
  20216936,
  2825839,
  2588824,
  1829946,
  17090823,
  18145726,
  18258814,
  16979381,
  19118592,
  19668957,
  18708996,
  16821910,
  1227302,
  16529208,
  2589836,
  2825428,
  18145622,
  17010986,
  16987512,
  2588780,
  3131662,
  19766244,
  1227317,
  2686018,
  18145719,
  18258795,
  17012460,
  17348100,
  3375605,
  17347899,
  19857491,
  16529203,
  17028061,
  17028073,
  17009748,
  16465084,
  3413888,
  1227319,
  17018895,
  2588781,
  16970001,
  77282,
  16980880
]"
1563,Oil & Serum,"[
  19617878,
  17090377,
  20981018,
  22615164
]"
254,Energy Drinks,"[
  19901745,
  16930923,
  16921553,
  42609,
  20965986,
  2008678,
  20581085,
  17745042,
  3141163,
  2728494,
  19315291,
  20169165,
  2823570,
  16293168,
  19885257,
  16739355,
  20165942,
  20167097,
  21124070,
  18272366,
  18548432,
  19901370,
  166394,
  20591390,
  19876334,
  21241914,
  17172325,
  34815,
  20165949,
  21317605,
  20173843,
  20167184,
  3376660,
  19876354,
  20172853,
  20565764,
  20985752,
  18026816,
  16719144,
  42617,
  21124012,
  20648783,
  3206662,
  18548324,
  20610180,
  42575,
  114346,
  16751873,
  20169161,
  16380557,
  16877137,
  2787454
]"
671,Frozen Meat Alternatives delete,"[
  56072
]"
1235,Sesame Seeds,"[
  17899128
]"
819,Imitation Crab,"[
  16787673
]"
1230,Trail Mix,"[
  17095847,
  3306823,
  19122296,
  1378662,
  3212384,
  3407324,
  3075800,
  481639,
  313852,
  2719868,
  17653096,
  3317805,
  21218843,
  313853,
  1469226,
  305758,
  2717602,
  179078,
  16713241,
  17095858,
  123613,
  3344394,
  2647558,
  17400864,
  17653109,
  123609,
  18575584,
  3212385,
  19342420,
  20589757,
  250860,
  17419642,
  3266885,
  19046690,
  75263,
  20045115,
  123611,
  18843057
]"
2379,Common Thyme,"[
  18622743,
  20675688
]"
274,Juice Boxes,"[
  20235537
]"
